EC Santo Andre U20 v Criciuma U20,1.16,1.05,/exchange/football/event?id=28060947,Brazil ,Sao Paulo Youth Cup 
Estanciano EC U20 v Londrina EC U20,1.01,1.05,/exchange/football/event?id=28060942,Brazil ,Sao Paulo Youth Cup 
Hammer SpVg v Sportfreunde Lotte,1.01,1.00,/exchange/football/event?id=28067598,International ,Friendly 
Interporto FC U20 v Fluminense RJ U20,1.01,1.05,/exchange/football/event?id=28060951,Brazil ,Sao Paulo Youth Cup 
Luverdense EC U20 v Ceara Fortaleza U20,1.01,1.05,/exchange/football/event?id=28060944,Brazil ,Sao Paulo Youth Cup 
MVV Maastricht v Seraing Utd,1.14,1.04,/exchange/football/event?id=28066927,International ,Friendly 
Mogi Mirim EC U20 v Internacional U20,1.01,1.05,/exchange/football/event?id=28060950,Brazil ,Sao Paulo Youth Cup 
Gharghur FC v Fgura United FC,1.01,1.04,/exchange/football/event?id=28066913,Malta ,Maltese First Division 
Sao Caetano U20 v Central SC Caruaru U20,1.01,1.05,/exchange/football/event?id=28060941,Brazil ,Sao Paulo Youth Cup 
Uniao Mogi U20 v River AC Teresina U20,1.01,1.05,/exchange/football/event?id=28060949,Brazil ,Sao Paulo Youth Cup 
Naxxar Lions FC v Senglea Athletic FC,1.18,1.05,/exchange/football/event?id=28066914,Malta ,Maltese First Division 
Antwerp v Roeselare,1.26,1.06,/exchange/football/event?id=28061004,Belgium ,Belgian Second Division 
Lions Gibraltar v Europa Point FC,1.16,1.05,/exchange/football/event?id=28066672,Gibraltar ,Gibraltar Premier Division 
Espanyol v Deportivo,1.44,1.11,/exchange/football/event?id=28056452,Spain ,Primera Division 
Hibernian v Dundee Utd,1.33,1.08,/exchange/football/event?id=28061000,United Kingdom ,Scottish Championship 
West Ham v Man City,1.22,1.05,/exchange/football/event?id=28057185,United Kingdom ,English FA Cup 
Audax Sao Paulo EC U20 v Floresta EC U20,1.01,1.05,/exchange/football/event?id=28060938,Brazil ,Sao Paulo Youth Cup 
Avranches v Laval,1.42,1.07,/exchange/football/event?id=28060967,France ,Coupe de France 
Gremio E O U20 v Real Noroeste U20,1.01,1.05,/exchange/football/event?id=28060940,Brazil ,Sao Paulo Youth Cup 
Monaco v AC Ajaccio,1.12,1.03,/exchange/football/event?id=28060964,France ,Coupe de France 
Vendee Les Herbiers v Ajaccio GFCO,1.42,1.06,/exchange/football/event?id=28060963,France ,Coupe de France 
EC Sao Bento U20 v CR Flamengo U20,1.01,1.05,/exchange/football/event?id=28060937,Brazil ,Sao Paulo Youth Cup 
CA Bragantino U20 v Cruzeiro U20,1.01,1.00,/exchange/football/event?id=28060936,Brazil ,Sao Paulo Youth Cup 
EC Taubate U20 v Pinheiro AC U20,1.01,1.00,/exchange/football/event?id=28060934,Brazil ,Sao Paulo Youth Cup 
Sao Bernardo FC U20 v Trindade AC U20,1.01,1.00,/exchange/football/event?id=28060935,Brazil ,Sao Paulo Youth Cup 
Curico Unido v Rangers (Chile),1.18,1.05,/exchange/football/event?id=28066730,International ,Friendly 
